row,column,cor,p
Otu000994,Otu002177,1,0
Otu000466,Otu002208,1,0
Otu000591,Otu002208,1,0
Otu000680,Otu002208,1,0
Otu000917,Otu002208,1,0
Otu001835,Otu002208,1,0
Otu000316,Otu002265,1,0
Otu000525,Otu002265,1,0
Otu000547,Otu002265,1,0
Otu000599,Otu002265,1,0
Otu000663,Otu002265,1,0
Otu000752,Otu002265,1,0
Otu000895,Otu002265,1,0
Otu001107,Otu002265,1,0
Otu001251,Otu002265,1,0
Otu001284,Otu002265,1,0
Otu001363,Otu002265,1,0
Otu001415,Otu002265,1,0
Otu001434,Otu002265,1,0
Otu001468,Otu002265,1,0
Otu001618,Otu002265,1,0
Otu001325,Otu002338,1,0
Otu000973,Otu002345,1,0
Otu000209,Otu002378,1,0
Otu000266,Otu002378,1,0
Otu000646,Otu002378,1,0
Otu000761,Otu002378,1,0
Otu001760,Otu002378,1,0
Otu000764,Otu002421,1,0
Otu000864,Otu002421,1,0
Otu001376,Otu002421,1,0
Otu001390,Otu002421,1,0
Otu001755,Otu002421,1,0
Otu002165,Otu002421,1,0
Otu000274,Otu002494,1,0
Otu000404,Otu002494,1,0
Otu000448,Otu002494,1,0
Otu000463,Otu002494,1,0
Otu000549,Otu002494,1,0
Otu000630,Otu002494,1,0
Otu000662,Otu002494,1,0
Otu000716,Otu002494,1,0
Otu000820,Otu002494,1,0
Otu000857,Otu002494,1,0
Otu000926,Otu002494,1,0
Otu000995,Otu002494,1,0
Otu001230,Otu002494,1,0
Otu001387,Otu002494,1,0
Otu001829,Otu002494,1,0
Otu001971,Otu002494,1,0
Otu000316,Otu002495,1,0
Otu000525,Otu002495,1,0
Otu000547,Otu002495,1,0
Otu000599,Otu002495,1,0
Otu000663,Otu002495,1,0
Otu000752,Otu002495,1,0
Otu000895,Otu002495,1,0
Otu001107,Otu002495,1,0
Otu001251,Otu002495,1,0
Otu001284,Otu002495,1,0
Otu001363,Otu002495,1,0
Otu001415,Otu002495,1,0
Otu001434,Otu002495,1,0
Otu001468,Otu002495,1,0
Otu001618,Otu002495,1,0
Otu002265,Otu002495,1,0
Otu000412,Otu002506,1,0
Otu000494,Otu002506,1,0
Otu000733,Otu002506,1,0
Otu000274,Otu002525,1,0
Otu000404,Otu002525,1,0
Otu000448,Otu002525,1,0
Otu000463,Otu002525,1,0
Otu000549,Otu002525,1,0
Otu000630,Otu002525,1,0
Otu000662,Otu002525,1,0
Otu000716,Otu002525,1,0
Otu000820,Otu002525,1,0
Otu000857,Otu002525,1,0
Otu000926,Otu002525,1,0
Otu000995,Otu002525,1,0
Otu001230,Otu002525,1,0
Otu001387,Otu002525,1,0
Otu001829,Otu002525,1,0
Otu001971,Otu002525,1,0
Otu002494,Otu002525,1,0
Otu000466,Otu002563,1,0
Otu000591,Otu002563,1,0
Otu000680,Otu002563,1,0
Otu000917,Otu002563,1,0
Otu001835,Otu002563,1,0
Otu002208,Otu002563,1,0
Otu001608,Otu002610,1,0
Otu001923,Otu002610,1,0
Otu000538,Otu002611,1,0
Otu000686,Otu002611,1,0
Otu000844,Otu002611,1,0
Otu000918,Otu002611,1,0
Otu000950,Otu002611,1,0
Otu001088,Otu002611,1,0
Otu001177,Otu002611,1,0
Otu001368,Otu002611,1,0
Otu001472,Otu002611,1,0
Otu000538,Otu002626,1,0
Otu000686,Otu002626,1,0
Otu000844,Otu002626,1,0
Otu000918,Otu002626,1,0
Otu000950,Otu002626,1,0
Otu001088,Otu002626,1,0
Otu001177,Otu002626,1,0
Otu001368,Otu002626,1,0
Otu001472,Otu002626,1,0
Otu002611,Otu002626,1,0
Otu000973,Otu002884,1,0
Otu002345,Otu002884,1,0
Otu000586,Otu003000,1,0
Otu000600,Otu003000,1,0
Otu000620,Otu003000,1,0
Otu000675,Otu003000,1,0
Otu000711,Otu003000,1,0
Otu000772,Otu003000,1,0
Otu000775,Otu003000,1,0
Otu000840,Otu003000,1,0
Otu000953,Otu003000,1,0
Otu001074,Otu003000,1,0
Otu001103,Otu003000,1,0
Otu001132,Otu003000,1,0
Otu001417,Otu003000,1,0
Otu001533,Otu003000,1,0
Otu001730,Otu003000,1,0
Otu001913,Otu003000,1,0
Otu001952,Otu003000,1,0
Otu001959,Otu003000,1,0
Otu002016,Otu003000,1,0
Otu000586,Otu003038,1,0
Otu000600,Otu003038,1,0
Otu000620,Otu003038,1,0
Otu000675,Otu003038,1,0
Otu000711,Otu003038,1,0
Otu000772,Otu003038,1,0
Otu000775,Otu003038,1,0
Otu000840,Otu003038,1,0
Otu000953,Otu003038,1,0
Otu001074,Otu003038,1,0
Otu001103,Otu003038,1,0
Otu001132,Otu003038,1,0
Otu001417,Otu003038,1,0
Otu001533,Otu003038,1,0
Otu001730,Otu003038,1,0
Otu001913,Otu003038,1,0
Otu001952,Otu003038,1,0
Otu001959,Otu003038,1,0
Otu002016,Otu003038,1,0
Otu003000,Otu003038,1,0
